epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,176.46,1.35596,1.19228,1.32761,0.61415,0.4975,0.42631,0.15722,2.8207,1.76713,2.82363,0.0002972,0.0002972,0.0002972
88,178.191,1.3046,1.22708,1.30097,0.61448,0.49816,0.42887,0.16368,2.78813,1.78671,2.80032,0.0002774,0.0002774,0.0002774
89,180.118,1.26411,1.1152,1.29155,0.58188,0.5,0.44093,0.16977,2.72172,1.84773,2.72733,0.0002576,0.0002576,0.0002576
90,181.925,1.28012,1.18825,1.28168,0.58415,0.5,0.45604,0.16433,2.66778,1.87679,2.68404,0.0002378,0.0002378,0.0002378
91,199.409,1.20877,1.16153,1.32665,0.60401,0.52452,0.45296,0.16264,2.61316,1.90519,2.63679,0.000218,0.000218,0.000218
92,201.436,1.1914,1.18843,1.28578,0.55632,0.53125,0.44982,0.17065,2.61156,1.88652,2.637,0.0001982,0.0001982,0.0001982
93,203.541,1.13616,1.1137,1.25645,0.54607,0.53125,0.45516,0.16627,2.61006,1.87934,2.64153,0.0001784,0.0001784,0.0001784
94,205.303,1.15158,1.08788,1.23029,0.55858,0.53125,0.45644,0.16785,2.61891,1.90181,2.64795,0.0001586,0.0001586,0.0001586
95,207.062,1.15181,1.08035,1.2179,0.58612,0.53125,0.44651,0.17586,2.6264,1.92781,2.65154,0.0001388,0.0001388,0.0001388
96,208.851,1.12782,1.08596,1.22645,0.56332,0.53125,0.43611,0.16996,2.62847,1.94155,2.64363,0.000119,0.000119,0.000119
97,210.565,1.11678,1.06038,1.24093,0.55179,0.5,0.43032,0.16879,2.6363,1.90068,2.63759,9.92e-05,9.92e-05,9.92e-05
98,212.271,1.12971,1.0168,1.18874,0.55686,0.5,0.42942,0.16559,2.63028,1.89023,2.62529,7.94e-05,7.94e-05,7.94e-05
99,213.956,1.18464,1.07591,1.27589,0.52734,0.55796,0.44054,0.1665,2.62663,1.89655,2.62766,5.96e-05,5.96e-05,5.96e-05
100,215.564,1.10702,1.06719,1.21337,0.52397,0.58492,0.4358,0.16769,2.63288,1.91087,2.64247,3.98e-05,3.98e-05,3.98e-05
